Rank,Length,Released,BPM,Key,Genre,Label,Date,Track_ID
1,7:44,2020-04-17,122.0,A min,Melodic House & Techno,RCA Records Label,2020-05-07,
2,7:17,2020-03-13,124.0,C♯ maj,House,Different,2020-05-07,
3,5:26,2020-02-21,124.0,D min,House,HouseU,2020-05-07,
4,5:15,2020-04-03,124.0,A maj,Deep House,SPINNIN' DEEP,2020-05-07,
5,5:53,2020-03-27,125.0,A min,Tech House,Lovejuice Records,2020-05-07,
6,6:22,2020-04-17,125.0,C min,Tech House,Armada Subjekt,2020-05-07,
7,6:51,2020-04-03,126.0,A♯ min,Tech House,Glasgow Underground,2020-05-07,
8,5:38,2020-03-31,125.0,A maj,Tech House,Catch & Release/Astralwerks,2020-05-07,
9,5:37,2020-03-26,126.0,D♯ maj,Tech House,Moon Harbour Recordings,2020-05-07,
10,7:41,2020-04-03,125.0,D min,Melodic House & Techno,Knee Deep In Sound,2020-05-07,
11,7:03,2020-05-01,123.0,A♯ maj,House,Defected,2020-05-07,
12,8:05,2020-04-24,133.0,B min,Techno (Peak Time / Driving / Hard),Armada Music,2020-05-07,
13,7:08,2020-03-13,130.0,E min,Techno (Peak Time / Driving / Hard),Perfekt Groove Recordings,2020-05-07,
14,5:52,2020-04-03,128.0,G♯ maj,Tech House,Columbia (Sony),2020-05-07,
15,5:59,2020-04-10,126.0,G min,Tech House,All We Have Is Now,2020-05-07,
16,6:43,2020-04-17,125.0,C min,Tech House,SOLOTOKO,2020-05-07,
17,5:10,2020-04-03,124.0,D♯ min,House,HouseU,2020-05-07,
18,6:15,2020-04-24,124.0,B min,Tech House,Toolroom,2020-05-07,
19,7:25,2020-03-20,126.0,A♯ maj,House,Defected,2020-05-07,
20,6:07,2020-03-13,128.0,C♯ min,Techno (Peak Time / Driving / Hard),1605,2020-05-07,
21,7:14,2019-12-06,124.0,A min,Melodic House & Techno,fryhide,2020-05-07,
22,4:55,2020-04-17,87.0,E min,Drum & Bass,The North Quarter,2020-05-07,
23,7:25,2020-04-27,130.0,A min,Techno (Peak Time / Driving / Hard),Terminal M,2020-05-07,
24,6:00,2020-03-20,125.0,F maj,House,Cube Recordings,2020-05-07,
25,5:38,2020-03-02,125.0,A min,Funky / Groove / Jackin' House,Cube Recordings,2020-05-07,
26,8:03,2020-01-17,123.0,A♯ maj,Melodic House & Techno,Kontor Records,2020-05-07,
27,6:28,2020-04-17,125.0,C♯ maj,Tech House,Toolroom,2020-05-07,
28,7:22,2020-05-01,123.0,G min,Nu Disco / Disco,Higher Ground (Mad Decent),2020-05-07,
29,4:34,2020-04-17,88.0,A min,Drum & Bass,V Recordings,2020-05-07,
30,5:53,2020-05-01,127.0,A♯ maj,Tech House,Trick,2020-05-07,
31,5:49,2020-04-24,127.0,A min,Tech House,Sola,2020-05-07,
32,6:34,2020-04-10,127.0,A min,Deep House,Resonance Records,2020-05-07,
33,6:31,2020-03-27,124.0,A♯ min,House,Toolroom,2020-05-07,
34,7:37,2020-04-03,124.0,E min,House,Glasgow Underground,2020-05-07,
35,7:18,2020-05-01,128.0,A♯ maj,House,Defected,2020-05-07,
36,7:06,2020-03-27,123.0,D maj,Melodic House & Techno,Timeless Moment,2020-05-07,
37,5:25,2020-02-28,124.0,A maj,House,There Was Jack,2020-05-07,
38,5:40,2020-04-03,126.0,G min,Melodic House & Techno,Afterlife Records,2020-05-07,
39,5:24,2020-04-10,128.0,A♯ min,Tech House,Etiquette,2020-05-07,
40,6:57,2020-02-07,130.0,E maj,Techno (Peak Time / Driving / Hard),Heldeep Records,2020-05-07,
41,4:59,2020-03-02,125.0,D min,Funky / Groove / Jackin' House,PornoStar Records,2020-05-07,
42,7:43,2020-03-13,123.0,E maj,Melodic House & Techno,Embassy One,2020-05-07,
43,4:56,2019-11-22,125.0,A min,Tech House,Club Sweat,2020-05-07,
44,5:24,2020-04-27,142.0,E maj,Trance,Damaged Records,2020-05-07,
